,content
1202,"积善之家，必有余庆，留余庆，留余庆，忽遇恩人；幸娘亲，幸娘亲，积得阴功。劝人生，济困扶穷……

而谁可知，人生于世，上承余庆，终究却是要自己做出道路抉择，正是所谓岔枝发：
　　东风携云雨，幼藤吐新芽。
　　急催如颦鼓，洗尽茸与华。
　　且待朝阳至，绿遍庭中架。
　　更盼黄叶时，采得数枚瓜。

致为了闲闲去看结果却被跛子萍萍和犯贱还有五竹所吸引的庆余年😘😘"
1203,坚持看到主角长大 太玛丽苏了 弃了
1204,精彩，细腻，伏笔众多，逻辑严密，引人入胜
1205,的确盛名难负，在穿越小说烂大街的当下，太多设定都成了俗套，以致主角已经有些杰克苏。和《雪中悍刀行》根本无法比。
1206,再也不敢看网络小说了，太长啦
1207,哪个孙子说这是神作来着？害我在通勤时间看了半个多月的小白文
1208,主角太娇柔做作
1209,男生必读吧，不喜政治却要懂政治
1210,有起点的套路。但是还是觉得在人物刻画上值得看一看。印象最深的是庆帝，没有名字，他就是那个时候的帝王。整本书的感觉喜欢，有时候有点小文艺小搞笑。但是结局有点坑，还有当时看到北齐的那个小皇帝是个女的的时候，猝不及防。我当时还一直纳闷为什么感觉没女主一样。
1211,名气有些过剩吧，莫名其妙的把皇帝老子耗死，结局烂尾
1212,全篇太絮叨，故事性不强，结局混乱。
1213,五哥是个程序？！
1214,狗血，穿越，网络小说.〜周末＜庆余年＞
1215,五竹是帅的 实在是太长了也太拖沓了导致看一半弃了
1216,我的ID来源，很喜欢范闲。
1217,垃圾垃圾垃圾垃圾垃圾垃圾垃圾
1218,世上只有三种人，男人，女人，和皇帝。
1219,同学说：真羡慕你都不会书荒的！我：我在看庆余年，而且看的比较慢………我的天这部实在是太长了前半截还行后半截拖死了，以至于我中间确实弃了，后来看了间客觉得意犹未尽才又把庆余年捡起来看完。但怎么说呢，总觉得猫腻的文笔还是在的，所以还看得下去。（压分给二星）
1220,单位姐姐推荐的书，读完第一本，会觉得这个年纪的喵，这类的书没有太大的吸引力、文字一般、主角光环、开挂
1221,不错
1222,庆余年。
1223,用了整个孕期+坐月子终于看完了……
1224,当年爱上老猫文笔的书
1225,短评差评多，长评到是口碑不错
1226,推荐的人都什么心态，完全看不下去的糟糕情节和文笔🙄
1227,一层层的展开设定，对一个网络小说来说已经很好了。一切都是从“庆历四年春”开始的。
1228,又看了一遍，好长，对于这种长篇，总感觉结尾总是不那么让人满意
1229,剧情跌宕起伏，小范闲一步步成长起来看的很过瘾！看了两遍
1230,超级好看！！
1231,看过的第一部穿越小说，真的很喜欢，现在还记得陈萍萍、范闲打范思哲的场景，身临其境
1233,文笔太唠叨太幼稚，人设玛丽苏、呆板。剧情还算能看。
1234,很喜欢的一本书
1235,颓我青春，耗我钱财，费我时间，伤我真心！
1236,故事整体还可以。优点1.很少见的男主超强大不作死不矫情的人设。2.朝堂的政治斗争写的完整而精彩。3.部分权谋写的很强大。但是，缺点也很明显。1.表现人物的强大，全靠平白的语言来刻画，反而觉得比较做作。2.爱情部分相交于朝堂写的实在是不敢看。3.没有一个角色特别突出不管是男角色女角色。
1237,还行吧，现在网络小说根本就没发现优秀的，这个算不错了
1238,篇幅很长，好喜欢五竹
1239,权谋巅峰就是谁好长啊
1240,“民心不可怕，可怕的是能够利用民心的人。”
1241,太长了，水准时好时坏，中间也有好多回忆凑字数的篇章，要不是在喜马拉雅听的有声书，估计早就弃了吧
1242,喜欢
1243,网络小说新的高度
1244,非常棒的小说，人物入骨，包袱不断，必须看！
1245,已读
1246,类似家丁的双穿，看到百分十看不太下去，斗诗，武术，沟女，写得比家丁差多了。
1247,强过盖世武功，强过天下大势，强过绝顶聪慧，的 是人心……
1248,主角光环太重。
1249,休闲看看，yy太厉害，老婆太多。
1250,实在不懂直男在想什么。
1251,盛名之下
1252,行文之中还是有一些深刻的道理。
1253,渐渐喜欢上这种连载“体裁”，可以逐步了解作者所构造的世界和其价值观。写手往往于现实中是无力的，但是在自己的书中，可以肆意挥霍，发掘新的生命。无意评判一些小说的价值观，但是感觉连载带给了自己小说的一大魅力，便是映射心中的世界，甚至跃跃欲试
1254,最喜欢的一部小说，没有之一。天下有狗，萍萍逐之！范闲飞奔回来陈萍萍在他怀里闭眼那一幕每每看哭。
1255,水平飘忽不定
1256,萍萍姐，海棠朵朵
1257,看网上很多人推荐。就下载来看，但真心不觉得好看啊！这男主的人设也太杰克苏了！说是穿越者可穿越之后跟之前没有一点相似之处，这哪是穿越，这是人格分裂！摆出一副不想出风头的样子，实际上却是到处招摇……多少次我想删了不看，都靠着强迫症才没有删
1258,相对不错的历史架空，逻辑严密
1259,大东山之役真牛逼，写陈萍萍送葬，数千黑骑一声候，真厉害
1260,穿越里面我最喜欢这个
1261,好看，太多的记忆，最深刻的莫过于“没有好战争，没有坏和平”的运用和理解
1262,还没看完，顺手评了再回去看完吧，总感觉不看完没法给自己一个交代，虽然知道看了也会很空虚，毕竟网络小说
1263,纯yy装逼文
1264,有点汤姆苏
1265,历时四十天。看到最后，不再介意那些yy，也不再介意冗长的环境刻画。除了大东山惊心动魄悬念迭起，其他就。。不过看了一个多月的书，还是有感情的。
1266,主角开金手指的爽文，很爽…
1267,很不错的一本小说 越往后看越精彩 不过结尾还是有点失败 没有想象的那么轰烈 有点可惜
1268,8/10
1269,情节满分，经典之作。
1271,这么难看的网文为什么会被捧那么高？文笔、人物、情节都不乏尴尬之处，最为称道的一段借用十二国记还读来毫无气氛= =所谓阴谋争斗太小儿科……不过讲道理，写得还是比一些纯升级流金手指种马流盛名难副的网文好的
1272,虽说一开始读不下去 可越到后来越精彩 猫腻天马行空地将穿越时间往后 古代剧里附带机器人 不突兀 猫腻很强大 用情怀写爽文
1273,听完了一本发现后面还有好多。挺有趣的故事
1274,整体节奏缓慢，结局有点烂尾！
1275,最爱
1276,开篇太絮叨
1277,前期不错，后期俺不喜欢
1278,我是猫粉
1279,绝对的棒！
1280,第一部太杰克苏
1281,曾中断过一次，后来重新拾起看完了。总体来说，这本小说略显冗长，比如明家这些情节不是很有趣，但有些场景则相当激动人心，大局观较好，前后能呼应，能看出作者自身的想法。
1282,电子版，权臣之路，后头略拖沓。
1283,叶轻眉很不错，人物塑造的好，然而我喜欢将夜（笑）
1284,去美国开会的一周全搭在这本书上了，只到回来的第三天才匆匆看完。好长，好多内容，我还是最在意的是萍萍死了。
1285,缩成十分之一差不多……太拖沓了……
1286,留余庆，留余庆，忽遇恩人，幸娘亲，幸娘亲，积得阴功。劝人生，济困扶穷，休似俺那爱银钱忘骨肉的狠舅奸兄!正是乘除加减，上有苍穹。
1287,穿越不是问题，问题是穿越后的故事！不错，值得一看
1288,看到默写红楼梦，瞎抄古诗，和鸡腿老婆一见钟情就再也看不下去了，看到剧透说主角他妈才是真正主角，身为穿越女各种开挂更是无语，一股满满女文青的味，你确定这不是串错频道的女频小说？
1289,叶轻眉和陈萍萍是贡献最好人物了，两人各的一星吧～剧情……呵呵
1290,看了得有一个月，终于看完了……一搜书目才知道居然有十一卷~就不一个个去标注了……到最后也不知道五竹记忆恢复了没有~心烦……
1291,庆有余年 与你同欢
1292,什么鬼，弃了
1293,第一本还说得过去的、且我感到厌烦的金手指重生。
1294,看了半本看不下去了。文抄公、情节散漫、闪瞎的金手指、端着架子硬装高明的样子。错过的“经典”就那么错过吧= =
1295,人设满分，但是现实生活中不存在小闲闲这种外貌与实力兼具并且活得明白的人。只能自己YY了。其实我比较喜欢范健-_-||
1296,也没觉得怎么样，重生金手指，和其他那些直男修真小说差距有限。看作者说下部要给男主安一堆红颜知己，瞬间无语了……
1297,主角的卦开得飞起……整个世界都是为男主准备的，别的就不用说了吧
1298,这书都能这么高分。。我老了吗
1299,喜欢老猫的书，文笔很细腻，而且字里行间生活味很浓
1300,好久没看这么长的小说了，隐隐感觉大学的时候看过，怎么会毫不记得剧情。还是有点烂尾，作者场面铺得太开，后面自己也收不住了。。
1301,看了一点，不是很喜欢。我始终都觉得孩子应该是灵动活泼的，不需要异于常人的成熟。开挂的人生并不存在。
1302,终于读完了，絮絮叨叨地写了好长一篇。好多铺垫感觉上有点浪费，是为了凑字数而写的吧。总体来说还是可以看的，就是好长好长好长
1303,很差劲，属于那种没有人物，没有人性，没有细节，只靠情节过度的小说。
1304,这算是一本很另类的小说，主角开挂，但老鬼们更开挂，皇帝是挂逼系列。猫腻的文笔相当厉害
1305,是网友推荐猫腻写的穿越小说，情节其实很不错的，有大量的转折，但最后小说里居然混合了现代化兵器、核爆、生化人等等元素，就有些不那么喜欢了，可惜了~
1306,小辉哥推荐，号称网文界的文青，从文笔能看出来，从内容完全看不出来。默写红楼梦来赚钱，引用各种古诗来出名，把女主角的名字设置为林依晨，也算是文青？架构也是各种练功，虽然开头设置诸多悬念，却写得冗长而烦闷。也只是勉强坚持看完了第一本。但是母亲的设定也是穿越者倒是挺有趣的。2019.9补充看完《十二国记》惊现抄袭，恶臭。
1307,还挺好玩儿的
1308,太棒了，太棒了，太棒了，太棒了！
1309,荣华梦一场，功名纸半张，是非海波千丈。马蹄踏碎街霜，听几度头鸡唱。尘土衣冠，江湖心量。出皇家凤网，慕夷齐首阳，叹韩彭未央。早纳纸风魔状。
1310,语言还可以，看了十分之一，实在看不下去了，拖沓，太多无用的描写，看的我想吐。
1311,杰克苏能忍，文笔太差不能忍，弃
1312,语言粗糙 故事混乱 穿越yy后宫文 我无法想象给出这些评论的人怎么看的这本书。猫腻的书是这样的话，那你们感觉谁写的生动优美啊 三少？ 看的好多评论憋死 服了这群人了
1313,小学三年级看的，算是我看的第一本网络小说了，并不适合小孩子（笑）
1315,标此一本代替全书，读到大东山之战之后的部分就有兴尽后的茫然感觉
1316,看过好多～
1317,虽然男主万能玛丽苏，但不妨碍这本书可读性强，很好看，让人难忘。
1318,看过的最好的网络小说
1319,用一本标全部（。好喜欢叶轻眉啊！
1320,两星给这个世界观架构，然而作者那糟糕的节奏把控实在是毁了这一好设定
1321,网络小说有毒，没有药
1322,架构还算能看，但实在过于啰嗦
1323,"要不是网上一堆评论号称""连会东山都没看到能懂这神作""，我能忍着年夜饭撑到看完会东山？结果看到了会东山看完了全文结果也就是个呵呵。"
1324,文青而不中二。
1325,气势不小，情节精彩，引人入胜。
1326,看得猫腻的第一本 总体不错 但老猫有些装 和过于卖弄文学辞藻了 更喜欢间客 简单直接
1327,陪伴我度过15年的低潮期，虽然很俗套，虽然人设杰克苏到日天日地日宇宙。但是那种拼了命要活的潇洒与精彩的态度还是刺破了我最近有新灰暗的生活。可能这就是所谓的共鸣。最潇洒的还是叶流云和费介，小舟从此逝，江海寄余生。最泪的却是陈萍萍临死，简直要酸的掉眼泪。闻君有两意，故来相决绝。最大的CP大概就是庆帝和陈萍萍吧。
1328,穿越题材大火，这本也比较出名，看了几遍，好不容易才看完
1329,小范大人，活得真
1330,花了很长时间 一年？还是大半年？才读完 佩服自己没有弃文…什么事情都是开头最好玩
1331,时间不够用…
1332,故事中还是有硬伤，不过就是图一乐子
1333,书是好书，人物性格也很明确，感觉没有反派，都是为了某种目的而办事，不能说庆帝冷血，也不能说范闲正义。喜欢陈萍萍，毕竟老狗不好当，一忍几十年。另外，这书好长啊，看了半年多，哭死。
1334,很好看
1335,前半部分不堪卒读，糟糕的设定比比皆是，艰难熬到中段方始渐入佳境，阴谋算计环环相扣，又多有作者信手捏来的妙笔佳句，可惜之前欠债一堆，已经积重难返。
1336,除了结尾令人失望，总体来说非常不错，权臣、谋臣。
1337,三星半吧 行文方式不是太喜欢 故事还能看看 虽然剧透过了 还是想看看如何进展到那个结局
1338,两年前我为什么会觉得这个好看啊啊啊，现在根本看不下去，将夜好多了。
1339,这个肥渣为了抻字数，把一些废话颠来倒去地说。商业写作的泥潭啊，里头出不了白莲花。得之失之，都是因果。既然扔了脸面做这种废话买卖，也就是赤裸裸地图财了。很礼貌地，敬奉肥渣一枚最低分。————他起码有三分之二的篇幅都是废话团团绕，说一万遍不嫌下作的。
1341,猫腻的前期作品，一些稚嫩之处还是很明显的，其实唯一不能接受的是接近结尾处如雪崩一般的彻底崩毁的结构。
1342,大学回忆，看了好几遍，猫腻写的最好的一本书了。
1343,"一明一暗两条线索很妙，虽然长，却是为数不多的跳到后面看了结局，过一段时间后又捡起来继续看的网络小说。
2"
1344,不想再看第二遍却一点不妨碍我成为它的书粉...
1345,"13/100
十天时间看完这本，因为看到有人拿它和琅琊榜还有紫川比。我觉得完爆琅琊榜，和紫川各有长短。猫腻的文笔了得，但是贯穿整文的主旨有点弱。
再次问一句有人也看过吗。"
1346,妈的气死了，打个五星平复下心情
1347,没有雪中好看啊
1348,我始终认为，这本是最好的
1349,好看，书中各种伏笔，各种坑，结局都有解释。逻辑严谨，值得看
1350,反正看了好几遍
1351,看了几章，虽是基友推荐，但是看不下去
1352,某人强烈推荐的小说，人物刻画非常成功，情节设置很出乎意料，非常精彩。
1353,谋篇实在是令人佩服。只是有点太神了啊
1354,前面我以为在看雷人的穿越言情小说，yy程度太严重，实在有负盛名。
1355,一开始同事说这是本文言文小说，打开就看到老子还是处男！！！！第一本主要铺梗挖坑。文笔不错，期待继续
1356,个人感觉属于不仅网络小说，包括一般出版物小说里的精品了，无论是文字情节人物都可圈可点，从此认识了猫腻。。。感觉他的书都是兜兜转转，弯弯绕绕
1357,副标题是神马鬼=、=，还是烂尾，而且没什么理由的……
1358,初中看的-。-
1359,还可以呀
1360,读不下去，这么杰克苏的剧情竟然出自男作者之手，这还是平生仅见。
1361,这么苏这么雷
1362,情节也不错，但是主角光环太大了吧，这还看啥咧
1363,黑子真多，语言粗糙？网文中没有比这更细腻的了
1364,读庆余年真的是享受。
1365,第一本相对来说还不错。
1366,然而、我很喜欢这本、虽然开头那些确实不喜欢……后来拜读间客读不下去、还是始终衷心这本、文笔细腻、不会丢三落四
1367,好好好好好好好好好看
1368,穿越文里我一定会推荐这部，人物有趣，故事新奇，文笔肆意又不失风趣
1369,矫情无味，不过而而。不想过多评价，只是来平衡一下。
1370,最近无聊，找小说看。看了三卷，实在看不下去了。情节冗长，废话连篇。各种雷死我的称呼，作者给主配角取名也太随意了吧！直接百度搜剧透去了，看到男主有四个还是几个老婆我也真是呵呵了。
1371,以前露露推荐过这本书，觉得作者名字不好听就没看。去年年初，偶然看了这本书，挺不错的，就把这部书全部看完了。不过这部书并不能算作一部武侠小说，武功在这里只是一个工具。这其实更像是一部官场小说。最后的结局有点出人意料，居然不是前穿。
1372,，
1373,这书的构架和表达主题其实还不错，在合情合理的情况下也有一些想象力。但作为网文代表，硬伤也实在太多。内容及其拖沓，叙事幼稚似小学生，情节很不吸引人，人物的名字起的让人每每读到心里都不舒服。屌丝的世界看来我是永远无法理解了。另外，隐隐有一些模仿罗格人物塑造的感觉，差远了。亵渎如果打10分，庆余年2分。想看的继续看，没看过的不用翻开了。
1374,很长很长，看到后来都有些不耐烦了。很扯很扯，不过扯的还蛮好看
1375,确实…不是很好…人设老套情节幼稚，无非是穿越饱有诗词，授课皆有宗师，身世天下无双，帝王权臣为之侧目倾动，奉若至宝，绝世人材为之倾心情动，为妻为妾。才华展示总是生硬，心计城府蛮干胡来，为官权斗如稚子逞能，反而身世包袱越戴越大，天纵奇才，名震天下。对了，好运不断，位高权大。真真是满足虚荣，且不管情节漏洞，逻辑硬伤，前后矛盾打脸。以为后面会认真写，开始只是铺垫，结果发现并没有，多看无益。
1376,不知道为什么有这么多人的推崇，除了结局还有点新意外，好无聊。更无聊的是我居然都看完了。。。
1377,男主设定很牛逼的文武双全、相貌身世不俗，看前面还以为会写成类似回到明朝当王爷之类的故事，没想到后面写成这样！！不合理！男主要是当皇帝或许我会满意一些。
1378,"1，M一当十。
2，起初是怀疑过作者性别的，因为对我来说，这种刻薄里带着丝丝猥琐的文风出自一个男人，嗯，不太能接受。再往后看就觉得确实是个男人写的，因为更不能想象一个女人这么不要脸。毫无疑问我厌恶他笔下的大部分角色。
3，未看之前，有人提到格局。我不认为这算格局。格局拆解开肯定有聪明和世故，但还有别的东西，作者所欠缺的。
4，而且，太！长！了！
5，然而，好吧，我承认如果不说个人倾向，挺不错的。"
1379,庆余年的开头很恶俗，几乎集中了穿越书中的一切狗血，数次让我想弃文。事实上我也的确弃了，不然不会等到2016年才开始看这本神作。的确，瑕不掩瑜，虽然我跟猫腻也就是范闲的价值观有很多不同，我也多次不赞同主人公的选择，但这的确无法掩盖这本作品的亮点。我最喜欢的人物是陈萍萍。
1380,作者一路写一路打补丁，说好的伏线千里之外呢？写着写着发现逻辑上解释不通了，再补上前面漏下的安排。最简单的一个例子，在打官司的时候要下跪了，忽然发现前面离开澹州的时候应该事先安排功名了……
1381,虽然有主角光环，但是写的还是挺好的，很大的一个格局，众多的人物描画。我觉得比电视剧的《琅琊榜》精彩多了。
1382,真的太长了!!男主要不要设定的那么完美一点儿意思都没有啊!看到45%实在看不下去了
1383,男主小心眼，自负，典型的宁我负人的那种，抄袭红楼梦，唐诗三百首，完全的小白文模式啊。权且纪念我看完了那么长的一本书。
1384,猫腻大大赞
1385,这应该是老猫写作的高峰了吧，文笔不拖沓注水，情节紧凑人物饱满。庆余年庆余年 庆幸还有余年
1386,故事桥段和构思都很巧妙，不足在于书太长，过多主角的自我描述，故事逻辑性上也值得推敲，如果写的不是一本网络小说，需要每天更新，而是仔细推敲，斟酌，完善。相信会是一本很棒的小说！
1387,不错
1388,网文，始终认《庆余年》第一！没事了就翻出来看
1389,披着官斗商斗的简介，结果却是言情宫斗的内在。很无聊，还得忍着作者生搬硬抄，掉书袋，好讨厌啊。心累。
1390,特别好，情节非常紧凑，一环套一环，惊心动魄
1391,写的还算细致，结局有点弱。
1392,回肠荡气
1393,俗人学渣一个本一直看网络小说，后学高雅爱上电影，但近年还是坚持看猫腻和烟雨江南的书，喜欢他们的文风，
1394,没有看完，因为节奏实在是太慢了。不过就目前看的一部分，觉得还可以。
1395,很有意思的宫廷小说，真是勾心斗角，心机都太深了，对我为人处事挺有帮助的，让我更了解社会的其实是间客
1396,初中第一次见这本书，读了个开头，现在我已经大三了，这么多年里也重启过几次，不过一直没有读下去，读完后我不想谈情节，文笔等方面，我只是在想为了全天下而牺牲少部分人，哪怕他是无罪的，真的对吗？这个答案或许真的很多，我站在那么高的位子上，我只能说我肯定做不到，尤其是对周围的亲人，朋友，我做不到为了别人去牺牲他们，他们对我的好都记在心里，很难被别的抹去，这本书只是想说真的不错，比很多快餐的网络小说好很多，看完了能给我一点启发
1397,最爱的权谋小说没有之一！大爱安之和朵朵！
1398,有一些片段还是有一点吸引人不过大部分内容比较拖沓凑字数，当然网络小说本也不太在乎质量。印象较深的是作者词汇似乎贫乏了些，微微一笑，微微一皱，微微一X，微微…最后作者好像也意识到了所以微微明显减少…
1399,前半部分很好很用心 后面一点就有些扯了 但对于一部网络小说来说已经非常好了
1400,开篇还算不错，就是节奏慢了点
1401,确实有些烂尾
1402,超长...读的电子版。人物、剧情还算缜密。啃鸡腿的姑娘让人心动，陈萍萍的名字和自己脑补的满脸皱褶的老脸每每让人想笑。虽然一直是宫廷背景，但总有引人抛之一切一入江湖的有活感。很多情节模糊了，忽然想再看一遍。推荐给家里的阿姨吧。嗯。
1403,前提铺垫好多。。。主角真是光环全开！能背几百首诗也就算了，还能默写红楼梦！
1404,有些事，总是在不知不觉的前进中懂了。
1405,喜欢陈萍萍
1406,网络快餐中少有的佳作——纪念我浪费的生命
1407,那些年看过最好的书 边听歌边看书
1408,"2015年11月8号，印尼，读完了正文，两篇后记，一大堆长篇书评ranwen网。
最感动的章节，陈萍萍的死，范闲雨中创法场。  以及，神庙揭秘。
遗憾的结局有：言冰云以后也没反水，王启年结局不详，海棠没有收编，彩虹终极兵器的揭秘，苦荷的法术，上山虎的结局，"
1409,陈萍萍死后，就没趣了。（这两个月耽误了多少事儿。
1411,作者后期对范闲的描写让人失望😔好在之前悬空庙刺杀，雪地狙杀和陈萍萍被凌迟处死千里奔回为范闲拉了不少好感。最喜欢出使北齐那一段和悬空庙刺杀那一段，节奏紧凑，悬念设置、人物刻画各方面都不错。范闲作为绝对主角地位不容忽视，但书里其他配角也很可爱，最喜欢五竹、王十三郎、海棠朵朵。
1412,实验室小朋友推荐的，看到第六十章弃，废情节太多，纯粹瞎编乱造的情节太多
1414,不明白为什么这个文这么受欢迎
1415,作者带着脑子，格局庞大，构思巧妙，每个人物都个性鲜明生动，惹人喜爱，只是讨厌庆帝的虚伪多疑装13和言冰云这个监察院的叛徒。虽然文笔一般，陈萍萍死后就烂尾了，仍不失为一本可读性蛮高的书
1416,满纸荒唐言……
1417,其实没有很多评论说得那么糟啊 这种天生带金手指的设定还蛮爱 文笔不瞎 剧情不蠢 消遣时间利器
1418,第一本，真的很不错
1419,部分像《新宋》
1420,人物形象描写的真不是很鲜明，剧情还不错，最后神庙那一段写的是又扯，又生硬，偏离于整本书之外，结局感觉烂尾了，很多人很多事都没写或者写的过于简略。结局五竹眼里发射的彩虹是什么鬼
1421,据说很好。没看完
1422,神书
1423,写作风格很喜欢，猫大代表作，没有之一
1424,庆余年是我穿越文里的最爱，没有之一😊
1426,读懒猫的第一部小说。熬了好几天看完了。
1427,怎么说呢…套路与寻秦记一样，只不过男主有了老妈穿越的先验。老妈先来个步步惊心，说不定还有段人机恋，儿子再搞一个寻秦记，身边机器人保镖…只不过最后没咋交代清楚神庙是个嘛
1428,太长了，以后再也不读了。
1429,全搙完。同类书中上品，就是文笔和龙傲天都有点矫情。。。
1430,感谢豆瓣推荐，我也做点贡献。为大家推荐读过的书
1432,朕要在上面~
1433,好长长长长长。。。终于可以开始看别的书了
1434,洋洋洒洒4百余万字，整整读了我一周时间。男主玩权弄术，最后弑父为母报仇，看得如鲠在喉，不知作者是如何跨越人伦这一障碍的。
1435,有味道，有反转，不弱智！
1436,太几把长和几把太长一样不中用，再不看这么长的小说了，太费神
1437,虽说这种开挂设定看到蛋疼，但还是会有种爽感啊。比较有比范闲更不像人的存在。
1438,原本，豆瓣上不准备放网络小说的。毕竟，我说我读本《红楼梦》，满满的逼格，要说读了本网络小说……但我是真的喜欢猫腻的书啊，一个个人物，写的太肉实，让人爱不释手。
1439,看过的第一部穿越小说，剧情现在依稀还记得些，作者太会钓读者胃口了
1440,勾引斗角，关系错综复杂，计中计，连环计不能说构思不巧妙，就是细节描述显的繁琐。
1442,这…
1443,出乎意料，挺棒的
1444,写的是个关于阴谋的故事
1445,看过N遍的小说，推荐啊
1446,废话真的太多，不喜欢这种太叨逼的
1447,听小说。
1448,高中时看的，可惜一直断断续续，直到现在还只看了一多半。很细腻的手法，没有那么夸张但足够有想象力的穿越剧情。
1449,难得看男生写的穿越文，之前看得将夜，回头来看猫腻原来的文，感觉男主好自大，文武奇才，才看到一半，不过男生的玛丽苏文也是蛮好玩的，特别是这篇米什么种马，不过就是倒背如流红楼梦，醉后写尽唐诗三百首，还是他老妈比较感兴趣，不过监察院的设定很好看
1450,这样写穿越倒是省去了温习历史，强行架构的问题
1451,1、废话太多，故事情节进展极其缓慢还很无聊。2、絮叨叨乱糟糟慢悠悠的描写，看着都不像是小说。3、写得又矫情又做作，随着男主长大，矫情做作指数噌噌成倍上升。4、第一次见到一个男作者写的男主自恋、自大、玛丽苏的程度高达女作者写的YY言情小说里的女主！5、女性向YY穿越里，女主们贼爱将一首首古风歌、他人诗词变成自己的，然后被众人惊为天人，或赞叹或嫉妒不已。在此书中我还是第一次见到穿越男也干如此勾当，盗了一次一次又一次，摇身一变大才子。
1452,好久没这么茶饭不思的看完一部小说了，虽然是穿越，但是行文却很少带有现代气息的出戏感觉、前几部都很棒、官场描写也很到位、就是有点烂尾了、后面扯太多没用的东西、但陈萍萍死的那段还是泪目了、目测作者是个红楼迷、我也是、总体可读性还是蛮高的！
1453,2014年1月14日。这套书终于看完了！400万字、历时两年多，作者写得殚心竭虑，读得我也是呕心沥血。吃饭、走路、地铁上、遛狗时，眼睛快瞎成五竹了。腰缠十万贯，骑马下江南，背负天子剑，遥控世间权，是范闲；面虽惫赖，实则有颗赤子心，是范闲；手段无耻无赖无情，内心其实义薄云天，还是范闲。终于解恨似的扔下这揪人心魄的世间第一小杂种，眼眶竟酸了，心里空空如也。心力似乎也被书中连环相扣的阴谋筹划和复杂难解的情和义耗尽了。猫腻写武功一定不如金庸古龙等大家，写权术亦与《雍正皇帝》的二月河有差距，甚至这书仍有许多待考究之处。但并非人人可获诺贝尔，书书皆可成巨著。他写得痛快，我们读得有趣也就够了。当然，除了觉得有趣，还有就是累啊！可惜实体书不知为何只出了六本，收之，希望以后能收全。隔两年再看一次，也许能轻松点
1454,YY的连我这看书的人都有点不好意思了，上来就无耻地穿越到小孩身上（人小鬼大），还身怀天脉，过世老妈是曾经的首富，便宜老爹是当朝权臣，保镖是绝世高手，师父是天下第一毒物，对象是皇上义女、宰相私生，大小就开练霸道真气，6岁识遍剧毒，12岁杀人如宰鸡。这还没完呢，一会来首辛弃疾的词，一会来首杜甫的诗，分分钟成了大才子、大文豪。这都算了，他还能默写《红楼梦》全本喔，曹雪芹成了他的笔名喔……爽点嘛，当然是杠杠的，金手指都开成这样了。初中风靡武侠的时候，有个同学每看一本前，一定要先问一下，主角有几次奇遇有几个老婆？四次奇遇三个老婆？才这么点有啥好看的！不知道他后来看不看网络小说，应该会爽呆了吧。
1455,这部书只看过前几本，没有全部看完。但是作品很有猫腻的风格，就是那种中年文青重拾当年情怀的作品
1456,开头还是不错的，很能吸引人接着读下去。
1457,个人觉得剧情挺好，这本书也是太长了。豆瓣还挺喜欢分成一本一本的，难道我就靠这个给自己刷个十几二十本的阅读量啊。作为架空历史的小叔，这本书闲下来读起来确实不错，毕竟这不算严肃文学，对吧。
1458,文笔有点烂
1460,疯狂看网络小说的时候
1461,太长了，看的第一部小说。官场小说。。。
1462,读了一点就看不下去了的杰克苏-_-||为啥都说好，真的很不喜欢穿越文主角开外挂一样的优越感
1463,很长，终于看完了。我没法说这小说写得不好，但真的不喜欢，只觉得有肉无骨。我只觉得男主角始终都在为剧情服务，所有的人物都是，所以没有一个讨人喜欢，包括叶轻眉。作者说他写的只是爽文，是很有自知之明的，是有水平的爽文，仅此而已。
1464,露一个星因为主角太开挂，另外好喜欢王启年这个小老头
1465,不能更喜欢
1466,一个跟身边丫鬟聊《楚门的世界》的穿越者
1467,可惜烂尾了。
1468,猫腻的小说里，总会出现一个让我非常欢喜的女孩，这感觉太美妙了。
1469,阅读越爽的书，老猫掌控故事线索的能力的确一流
1470,难负盛名
1471,范闲很护短，我也很护短( ´▽` )
1472,超长，看了好久，前三分之一喜欢，中三分之一拖沓，最后结尾完全是神经病。经典难求啊
1473,看了看开头，看了看结尾
1474,读起来闷，结局不给力
1475,我就马克一本 全部看完了 400万字的小说我应该不会再看第二部了 强迫症连景色人物衣着描写都不愿意错过。。。另外我那么期待的叶轻眉外传为啥没有？！我想当言情看的啊为啥没有！？
1476,陈萍萍赛高！可是我还是好喜欢后来人设崩了的小言公子……男主那是什么鬼，宁缺跟他比起来都显得可爱多了
1477,猫腻那种过分得不宽容的文青味道。说我呢。
1478,不明白为什么这么高分……
1479,范闲真心开了外挂……看过三四卷之后，突然觉得一二卷的范闲更成熟，也许就像新一寄居在小孩子身体里却显得更成熟一样吧。
1480,难负盛名，废话连篇
1481,不是很喜欢
1482,写的挺好 挺逗的 不过这男主简直就是杰克苏嘛 光环太大 我快被晃瞎了=_=
1483,婴儿时期就练绝世武功，四五岁要开始破案了，哦原谅我真是眼睛都要瞎了，这挂开的段誉都自愧不如，名不副实的一本大作
1484,最爱的权谋小说没有之一！大爱安之和朵朵！
